Include_In_Regression,Y2_Monthly_Spend_EUR,lnY,Y1_Per_Purchase_EUR,Employment_Code,Emp_M_StudentWorking,Emp_M_Employed,Monthly_Income,Disposable_Income,Shopping_Frequency,Hours_Online_Daily,Why_Convenient,Why_SavesTime,Why_BetterPrices,Why_Habit,Why_Browsing,Why_Hobbies,Why_Curious,Why_SocialMediaTrend,Avg_WhyShopOnline,Avg_Convenience_Motive,Avg_Hedonic_Motive,Inf_Price,Inf_Quality,Inf_Reviews,Inf_SocialMedia,Inf_OnlineAds,Inf_Recommendations,Inf_Brand,Inf_WebsiteDesign,Avg_PurchaseInfluences,Avg_Rational_Influences,Avg_Social_Influences,Cat_Clothing,Cat_Technology_Electronics,Cat_Home_Items,Cat_Kitchen_Items,Cat_Beauty_Personal_Care,Cat_Entertainment,Cat_Merchandise,Cat_Food,Cat_Other
1,125,4.8283137373023015,63.0,4,0,1,3.0,3.0,3,2,5,4,5,2,5,4,5,1,3.88,4.0,3.75,5,4,4,1,1,3,3,1,2.75,4.333,1.8,1,1,0,0,1,1,0,0,0
1,125,4.8283137373023015,63.0,4,0,1,5.0,4.0,3,1,4,5,5,1,2,1,3,1,2.75,3.75,1.75,4,5,5,1,1,2,2,1,2.62,4.667,1.4,0,1,1,1,0,1,0,0,0
1,125,4.8283137373023015,63.0,1,0,0,1.0,,2,2,4,5,5,2,3,3,2,2,3.25,4.0,2.5,5,5,3,2,2,3,4,2,3.25,4.333,2.6,1,0,0,0,0,0,0,0,0
1,125,4.8283137373023015,63.0,2,1,0,1.0,2.0,3,2,5,5,3,1,1,4,3,2,3.0,3.5,2.5,4,4,3,1,1,3,3,2,2.62,3.667,2.0,1,0,0,0,1,1,0,0,0
1,125,4.8283137373023015,88.0,3,0,1,2.0,2.0,1,3,3,4,4,1,2,2,2,2,2.5,3.0,2.0,2,5,5,4,2,5,2,2,3.38,4.0,3.0,1,0,1,0,1,0,0,0,0
1,125,4.8283137373023015,88.0,4,0,1,5.0,4.0,1,3,4,5,5,4,4,4,2,2,3.75,4.5,3.0,4,5,5,3,2,4,4,2,3.62,4.667,3.0,1,0,1,0,0,1,1,0,0
1,125,4.8283137373023015,88.0,4,0,1,3.0,4.0,2,2,4,3,3,2,4,2,2,3,2.88,3.0,2.75,3,3,4,4,4,3,3,4,3.5,3.333,3.6,1,0,0,0,0,0,0,0,0
1,125,4.8283137373023015,125.0,2,1,0,2.0,3.0,1,1,5,5,4,3,2,4,3,1,3.38,4.25,2.5,4,5,3,1,2,4,3,4,3.25,4.0,2.8,1,1,0,0,1,0,1,0,0
0,125,4.8283137373023015,88.0,7,0,0,5.0,,3,1,5,4,3,4,5,3,1,2,3.38,4.0,2.75,1,5,5,2,2,5,5,4,3.62,3.667,3.6,0,0,1,1,1,0,0,0,0
1,125,4.8283137373023015,63.0,1,0,0,1.0,4.0,4,2,3,1,3,3,1,2,3,2,2.25,2.5,2.0,3,2,2,1,2,1,1,3,1.88,2.333,1.6,1,1,1,1,1,1,1,0,0
